Description;Description2;Data.Carbohydrate;Data.Cholesterol;Data.Kilocalories;Data.Protein;Data.Household Weights.1st Household Weight Description
MILK,HUMAN,MATURE,FLUID;MILK,HUMAN,MATURE,FLUID 1 cup;689;14;70;103;1 cup
MILK,INDIAN BUFFALO,FLUID;MILK,INDIAN BUFFALO,FLUID 1 cup;518;19;97;375;1 cup
MILK,SHEEP,FLUID;MILK,SHEEP,FLUID 1 cup;536;27;108;598;1 cup
MILK SHAKES,THICK CHOC;MILK SHAKES,THICK CHOC 1 fl oz;2115;11;119;305;1 fl oz
MILK SHAKES,THICK VANILLA;MILK SHAKES,THICK VANILLA 1 fl oz;1775;12;112;386;1 fl oz
WHEY,ACID,FLUID;WHEY,ACID,FLUID 1 cup;512;1;24;76;1 cup
WHEY,ACID,DRIED;WHEY,ACID,DRIED 1 cup;7345;3;339;1173;1 cup
WHEY,SWEET,FLUID;WHEY,SWEET,FLUID 1 cup;514;2;27;85;1 cup
WHEY,SWEET,DRIED;WHEY,SWEET,DRIED 1 cup;7446;6;353;1293;1 cup
YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ;YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ 1 cup,  (8 fl oz);466;13;61;347;1 cup,  (8 fl oz)
YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ;YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ 1 cup,  (8 fl oz);704;6;63;525;1 cup,  (8 fl oz)
YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ;YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ 1 cup,  (8 fl oz);768;2;56;573;1 cup,  (8 fl oz)
YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ;YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ 1 cup,  (8 fl oz);138;5;85;493;1 cup,  (8 fl oz)
YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ;YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ 1 cup,  (8 fl oz);1864;5;99;398;1 cup,  (8 fl oz)
YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ;YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ 1 cup,  (8 fl oz);1905;4;102;437;1 cup,  (8 fl oz)
YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ;YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ 1 container,  (8 oz);186;6;105;486;1 container,  (8 oz)
EGG,WHOLE,RAW,FRESH;EGG,WHOLE,RAW,FRESH 1 cup,  (4.86 large eggs);77;423;143;1258;1 cup,  (4.86 large eggs)
EGG,WHITE,RAW,FRESH;EGG,WHITE,RAW,FRESH 1 cup;73;0;48;109;1 cup
EGG,YOLK,RAW,FRSH;EGG,YOLK,RAW,FRSH 1 cup;359;1234;317;1586;1 cup
EGG,YOLK,RAW,FROZEN;EGG,YOLK,RAW,FROZEN .5 lb;115;1075;303;155;.5 lb
EGG,YOLK,RAW,FRZ,SUGARED;EGG,YOLK,RAW,FRZ,SUGARED .5 lb;108;959;307;138;.5 lb
EGG,WHL,CKD,FRIED;EGG,WHL,CKD,FRIED 1 large;88;457;196;1363;1 large
EGG,WHL,CKD,HARD-BOILED;EGG,WHL,CKD,HARD-BOILED 1 cup, chopped;112;424;155;1258;1 cup, chopped
EGG,WHOLE,COOKED,OMELET;EGG,WHOLE,COOKED,OMELET 1 tbsp;68;356;157;1059;1 tbsp
EGG,WHL,CKD,POACHED;EGG,WHL,CKD,POACHED 1 large;76;422;142;1253;1 large
EGG,WHL,CKD,SCRMBLD;EGG,WHL,CKD,SCRMBLD 1 cup;22;352;167;1109;1 cup
EGG,WHOLE,DRIED;EGG,WHOLE,DRIED 1 cup,  sifted;495;1715;594;4735;1 cup,  sifted
EGG,WHL,DRIED,STABILIZED,GLUCOSE RED;EGG,WHL,DRIED,STABILIZED,GLUCOSE RED 1 cup,  sifted;238;2017;615;4817;1 cup,  sifted
EGG,WHITE,DRIED,FLAKES,GLUCOSE RED;EGG,WHITE,DRIED,FLAKES,GLUCOSE RED .5 lb;417;0;351;7692;.5 lb
EGG,WHITE,DRIED,PDR,GLUCOSE RED;EGG,WHITE,DRIED,PDR,GLUCOSE RED 1 cup,  sifted;447;0;376;824;1 cup,  sifted
EGG,YOLK,DRIED;EGG,YOLK,DRIED 1 cup,  sifted;36;2335;666;3425;1 cup,  sifted
EGG,DUCK,WHOLE,FRESH,RAW;EGG,DUCK,WHOLE,FRESH,RAW 1 egg;145;884;185;1281;1 egg
