Description;Description2;Data.Carbohydrate;Data.Cholesterol;Data.Kilocalories;Data.Protein;Data.Household Weights.1st Household Weight Description
SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,UNPREP;SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,UNPREP 1 package,  (10 oz);359;0;17;116;1 package,  (10 oz)
SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,CKD,BLD,DRND,WO/SALT;SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,CKD,BLD,DRND,WO/SALT 1 cup;356;0;17;115;1 cup
SQUASH,SMMR,ZUCCHINI,ITALIAN STYLE,CND;SQUASH,SMMR,ZUCCHINI,ITALIAN STYLE,CND 1 cup;685;0;29;103;1 cup
SQUASH,WINTER,ACORN,RAW;SQUASH,WINTER,ACORN,RAW 1 cup, cubes;1042;0;40;8;1 cup, cubes
SQUASH,WNTR,ACORN,CKD,BKD,WO/SALT;SQUASH,WNTR,ACORN,CKD,BKD,WO/SALT 1 cup, cubes;1458;0;56;112;1 cup, cubes
SQUASH,WNTR,ACORN,CKD,BLD,MSHD,WO/SALT;SQUASH,WNTR,ACORN,CKD,BLD,MSHD,WO/SALT 1 cup, mashed;879;0;34;67;1 cup, mashed
SQUASH,WNTR,BUTTERNUT,RAW;SQUASH,WNTR,BUTTERNUT,RAW 1 cup, cubes;1169;0;45;10;1 cup, cubes
SQUASH,WNTR,BUTTERNUT,CKD,BKD,WO/SALT;SQUASH,WNTR,BUTTERNUT,CKD,BKD,WO/SALT 1 cup, cubes;1049;0;40;9;1 cup, cubes
SQUASH,WNTR,BUTTERNUT,FRZ,UNPREP;SQUASH,WNTR,BUTTERNUT,FRZ,UNPREP 1 package,  (12 oz);1441;0;57;176;1 package,  (12 oz)
SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,WO/SALT;SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,WO/SALT 1 cup, mashed;1005;0;39;123;1 cup, mashed
SQUASH,WINTER,HUBBARD,RAW;SQUASH,WINTER,HUBBARD,RAW 1 cup, cubes;87;0;40;20;1 cup, cubes
SQUASH,WNTR,HUBBARD,CKD,BKD,WO/SALT;SQUASH,WNTR,HUBBARD,CKD,BKD,WO/SALT 1 cup, cubes;1081;0;50;248;1 cup, cubes
SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,WO/SALT;SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,WO/SALT 1 cup, mashed;646;0;30;148;1 cup, mashed
SQUASH,WNTR,SPAGHETTI,RAW;SQUASH,WNTR,SPAGHETTI,RAW 1 cup, cubes;691;0;31;64;1 cup, cubes
SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT;SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT 1 cup;646;0;27;66;1 cup
SUCCOTASH,(CORN&LIMAS),RAW;SUCCOTASH,(CORN&LIMAS),RAW ;1959;0;99;503;
SUCCOTASH,(CORN&LIMAS),CKD,BLD,DRND,WO/SALT;SUCCOTASH,(CORN&LIMAS),CKD,BLD,DRND,WO/SALT 1 cup;2438;0;115;507;1 cup
SUCCOTASH,(CORN&LIMAS),CND,W/CRM STYLE CORN;SUCCOTASH,(CORN&LIMAS),CND,W/CRM STYLE CORN 1 cup;1761;0;77;264;1 cup
SUCCOTASH,(CORN&LIMAS),CND,W/WHL KERNEL CORN,SOL&LIQUIDS;SUCCOTASH,(CORN&LIMAS),CND,W/WHL KERNEL CORN,SOL&LIQUIDS 1 cup;1398;0;63;26;1 cup
SUCCOTASH,(CORN&LIMAS),FRZ,UNPREP;SUCCOTASH,(CORN&LIMAS),FRZ,UNPREP 1 cup;1994;0;93;431;1 cup
SUCCOTASH,(CORN&LIMAS),FRZ,CKD,BLD,DRND,WO/SALT;SUCCOTASH,(CORN&LIMAS),FRZ,CKD,BLD,DRND,WO/SALT 1 cup;1995;0;93;431;1 cup
SWAMP CABBAGE,(SKUNK CABBAGE),RAW;SWAMP CABBAGE,(SKUNK CABBAGE),RAW 1 cup, chopped;314;0;19;26;1 cup, chopped
SWAMP CABBAGE,CKD,BLD,DRND,WO/SALT;SWAMP CABBAGE,CKD,BLD,DRND,WO/SALT 1 cup, chopped;371;0;20;208;1 cup, chopped
SWEET POTATO LEAVES,RAW;SWEET POTATO LEAVES,RAW 1 cup, chopped;638;0;35;40;1 cup, chopped
SWEET POTATO LEAVES,CKD,STMD,WO/ SALT;SWEET POTATO LEAVES,CKD,STMD,WO/ SALT 1 cup;732;0;34;232;1 cup
SWEET POTATO,RAW,UNPREP;SWEET POTATO,RAW,UNPREP 1 cup, cubes;2012;0;86;157;1 cup, cubes
SWEET POTATO,CKD,BKD IN SKN,WO/ SALT;SWEET POTATO,CKD,BKD IN SKN,WO/ SALT 1 cup;2071;0;90;201;1 cup
SWEET POTATO,CKD,BLD,WO/ SKN;SWEET POTATO,CKD,BLD,WO/ SKN 1 cup, mashed;1772;0;76;137;1 cup, mashed
SWEETPOTATO,CND,VACUUM PK;SWEETPOTATO,CND,VACUUM PK 1 cup, mashed;2112;0;91;165;1 cup, mashed
SWEET POTATO,CND,MSHD;SWEET POTATO,CND,MSHD 1 cup;2319;0;101;198;1 cup
SWEET POTATO,FRZ,UNPREP;SWEET POTATO,FRZ,UNPREP 1 cup, cubes;2222;0;96;171;1 cup, cubes
SWEET POTATO,FRZ,CKD,BKD,WO/ SALT;SWEET POTATO,FRZ,CKD,BKD,WO/ SALT 1 cup, cubes;234;0;100;171;1 cup, cubes
TARO,RAW;TARO,RAW 1 cup, sliced;2646;0;112;15;1 cup, sliced
TARO,COOKED,WITHOUT SALT;TARO,COOKED,WITHOUT SALT 1 cup, sliced;346;0;142;52;1 cup, sliced
TARO LEAVES,RAW;TARO LEAVES,RAW 1 cup;67;0;42;498;1 cup
TARO LEAVES,CKD,STMD,WO/SALT;TARO LEAVES,CKD,STMD,WO/SALT 1 cup;402;0;24;272;1 cup
TARO SHOOTS,RAW;TARO SHOOTS,RAW .5 cup, slices;232;0;11;92;.5 cup, slices
TARO SHOOTS,CKD,WO/SALT;TARO SHOOTS,CKD,WO/SALT 1 cup, slices;32;0;14;73;1 cup, slices
TARO,TAHITIAN,RAW;TARO,TAHITIAN,RAW 1 cup, slices;691;0;44;279;1 cup, slices
TARO,TAHITIAN,CKD,WO/SALT;TARO,TAHITIAN,CKD,WO/SALT 1 cup, slices;685;0;44;416;1 cup, slices
TOMATOES,GREEN,RAW;TOMATOES,GREEN,RAW 1 cup;51;0;23;12;1 cup
TOMATOES,RED,RIPE,RAW,YEAR RND AVERAGE;TOMATOES,RED,RIPE,RAW,YEAR RND AVERAGE 1 cup,  cherry tomatoes;392;0;18;88;1 cup,  cherry tomatoes
TOMATOES,RED,RIPE,CKD;TOMATOES,RED,RIPE,CKD 1 cup;401;0;18;95;1 cup
TOMATOES,RED,RIPE,CND,PACKED IN TOMATO JUC;TOMATOES,RED,RIPE,CND,PACKED IN TOMATO JUC 1 cup;40;0;17;78;1 cup
TOMATOES,RED,RIPE,CND,STWD;TOMATOES,RED,RIPE,CND,STWD 1 cup;619;0;26;91;1 cup
TOMATOES,RED,RIPE,CND,W/GRN CHILIES;TOMATOES,RED,RIPE,CND,W/GRN CHILIES 1 cup;362;0;15;69;1 cup
TOMATO JUC,CND,W/SALT;TOMATO JUC,CND,W/SALT 1 cup;424;0;17;76;1 cup
TOMATO PRODUCTS,CND,PASTE,WO/ SALT ADDED;TOMATO PRODUCTS,CND,PASTE,WO/ SALT ADDED 1 cup;1891;0;82;432;1 cup
TOMATO PRODUCTS,CND,PUREE,WO/SALT;TOMATO PRODUCTS,CND,PUREE,WO/SALT 1 cup;898;0;38;165;1 cup
TOMATO POWDER;TOMATO POWDER ;7468;0;302;1291;
TOMATO PRODUCTS,CND,SAU;TOMATO PRODUCTS,CND,SAU 1 cup;538;0;24;132;1 cup
TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS;TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS 1 cup;843;0;35;145;1 cup
TOMATO PRODUCTS,CND,SAU,W/ONIONS;TOMATO PRODUCTS,CND,SAU,W/ONIONS 1 cup;994;0;42;156;1 cup
TOMATO PRODUCTS,CND,SAU,W/HERBS&CHS;TOMATO PRODUCTS,CND,SAU,W/HERBS&CHS .5 cup;1024;3;59;213;.5 cup
TOMATO PRODUCTS,CND,SAU,W/ONIONS,GRN PEPPERS,&CELERY;TOMATO PRODUCTS,CND,SAU,W/ONIONS,GRN PEPPERS,&CELERY 1 cup;877;0;41;94;1 cup
TOMATO PRODUCTS,CND,SAU,W/TOMATO TIDBITS;TOMATO PRODUCTS,CND,SAU,W/TOMATO TIDBITS 1 cup;709;0;32;132;1 cup
TREE FERN,CKD,WO/SALT;TREE FERN,CKD,WO/SALT .5 cup, chopped;1098;0;40;29;.5 cup, chopped
TURNIPS,RAW;TURNIPS,RAW 1 cup, cubes;643;0;28;9;1 cup, cubes
TURNIPS,CKD,BLD,DRND,WO/SALT;TURNIPS,CKD,BLD,DRND,WO/SALT 1 cup, cubes;506;0;22;71;1 cup, cubes
TURNIPS,FROZEN,UNPREPARED;TURNIPS,FROZEN,UNPREPARED 1 package, mashed (10 oz);294;0;16;104;1 package, mashed (10 oz)
TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT;TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT 1 cup;435;0;23;153;1 cup
TURNIP GREENS,RAW;TURNIP GREENS,RAW 1 cup, chopped;713;0;32;15;1 cup, chopped
TURNIP GRNS,CKD,BLD,DRND,WO/SALT;TURNIP GRNS,CKD,BLD,DRND,WO/SALT 1 cup, chopped;436;0;20;114;1 cup, chopped
TURNIP GRNS,CND,SOL&LIQUIDS;TURNIP GRNS,CND,SOL&LIQUIDS .5 cup;242;0;14;136;.5 cup
TURNIP GRNS,FRZ,UNPREP;TURNIP GRNS,FRZ,UNPREP .5 cup, chopped or diced;367;0;22;247;.5 cup, chopped or diced
TURNIP GRNS,FRZ,CKD,BLD,DRND,WO/SALT;TURNIP GRNS,FRZ,CKD,BLD,DRND,WO/SALT 1 cup;498;0;29;335;1 cup
TURNIP GRNS&TURNIPS,FRZ,UNPREP;TURNIP GRNS&TURNIPS,FRZ,UNPREP 1 package,  (10 oz);34;0;21;246;1 package,  (10 oz)
TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT;TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,WO/SALT 1 cup;485;0;35;299;1 cup
VEGETABLE JUC COCKTAIL,CND;VEGETABLE JUC COCKTAIL,CND 1 cup;455;0;19;63;1 cup
VEGETABLES,MXD,CND,SOL&LIQUIDS;VEGETABLES,MXD,CND,SOL&LIQUIDS 1 cup;713;0;36;142;1 cup
VEGETABLES,MXD,CND,DRND SOL;VEGETABLES,MXD,CND,DRND SOL 1 cup;926;0;49;259;1 cup
VEGETABLES,MXD,FRZ,UNPREP;VEGETABLES,MXD,FRZ,UNPREP 1 package,  (10 oz);1346;0;64;333;1 package,  (10 oz)
VEGETABLES,MXD,FRZ,CKD,BLD,DRND,WO/SALT;VEGETABLES,MXD,FRZ,CKD,BLD,DRND,WO/SALT 1 package,  (10 oz) yields;1309;0;65;286;1 package,  (10 oz) yields
VINESPINACH,(BASELLA),RAW;VINESPINACH,(BASELLA),RAW ;34;0;19;18;
WATERCHESTNUTS,CHINESE,(MATAI),RAW;WATERCHESTNUTS,CHINESE,(MATAI),RAW .5 cup, slices;2394;0;97;14;.5 cup, slices
WATERCHESTNUTS,CHINESE,CND,SOL&LIQUIDS;WATERCHESTNUTS,CHINESE,CND,SOL&LIQUIDS .5 cup, slices;123;0;50;88;.5 cup, slices
WATERCRESS,RAW;WATERCRESS,RAW 1 cup, chopped;129;0;11;23;1 cup, chopped
WAXGOURD,(CHINESE PRESERVING MELON),RAW;WAXGOURD,(CHINESE PRESERVING MELON),RAW 1 cup, cubes;30;0;13;4;1 cup, cubes
WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,WO/SALT;WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,WO/SALT 1 cup, cubes;304;0;14;4;1 cup, cubes
WINGED BNS,IMMAT SEEDS,RAW;WINGED BNS,IMMAT SEEDS,RAW 1 cup, slices;431;0;49;695;1 cup, slices
WINGED BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT;WINGED BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT 1 cup;321;0;38;531;1 cup
WINGED BEAN LEAVES,RAW;WINGED BEAN LEAVES,RAW ;141;0;74;585;
WINGED BEAN TUBER,RAW;WINGED BEAN TUBER,RAW ;281;0;148;116;
YAM,RAW;YAM,RAW 1 cup, cubes;2788;0;118;153;1 cup, cubes
YAM,CKD,BLD,DRND,OR BKD,WO/SALT;YAM,CKD,BLD,DRND,OR BKD,WO/SALT 1 cup, cubes;2748;0;116;149;1 cup, cubes
YAMBEAN (JICAMA),RAW;YAMBEAN (JICAMA),RAW 1 cup, slices;882;0;38;72;1 cup, slices
YAMBEAN (JICAMA),CKD,BLD,DRND,WO/SALT;YAMBEAN (JICAMA),CKD,BLD,DRND,WO/SALT ;882;0;38;72;
BEETS,HARVARD,CND,SOL&LIQUIDS;BEETS,HARVARD,CND,SOL&LIQUIDS 1 cup, slices;1818;0;73;84;1 cup, slices
BEETS,PICKLED,CND,SOL&LIQUIDS;BEETS,PICKLED,CND,SOL&LIQUIDS 1 cup, slices;1628;0;65;8;1 cup, slices
BORAGE,RAW;"BORAGE,RAW 1 cup,  (1"" pieces)";306;0;21;18;"1 cup,  (1"" pieces)"
BORAGE,CKD,BLD,DRND,WO/SALT;BORAGE,CKD,BLD,DRND,WO/SALT ;355;0;25;209;
CHIVES,FREEZE-DRIED;CHIVES,FREEZE-DRIED 1 tbsp;6429;0;311;212;1 tbsp
DOCK,RAW;DOCK,RAW 1 cup, chopped;32;0;22;20;1 cup, chopped
DOCK,CKD,BLD,DRND,WO/SALT;DOCK,CKD,BLD,DRND,WO/SALT ;293;0;20;183;
EPPAW,RAW;EPPAW,RAW 1 cup;3168;0;150;46;1 cup
HORSERADISH-TREE,PODS,RAW;HORSERADISH-TREE,PODS,RAW 1 cup, slices;853;0;37;21;1 cup, slices
HORSERADISH-TREE,PODS,CKD,BLD,DRND,WO/SALT;HORSERADISH-TREE,PODS,CKD,BLD,DRND,WO/SALT 1 cup, sliced;818;0;36;209;1 cup, sliced
KALE,SCOTCH,RAW;KALE,SCOTCH,RAW 1 cup, chopped;832;0;42;28;1 cup, chopped
KALE,SCOTCH,CKD,BLD,DRND,WO/SALT;KALE,SCOTCH,CKD,BLD,DRND,WO/SALT 1 cup, chopped;563;0;28;19;1 cup, chopped
LEEKS,(BULB&LOWER-LEAF PORTION),FREEZE-DRIED;LEEKS,(BULB&LOWER-LEAF PORTION),FREEZE-DRIED 1 tbsp;7465;0;321;152;1 tbsp
PARSLEY,FREEZE-DRIED;PARSLEY,FREEZE-DRIED 1 tbsp;4238;0;271;313;1 tbsp
BEANS,MUNG,MATURE SEEDS,SPROUTED,CND,DRND SOL;BEANS,MUNG,MATURE SEEDS,SPROUTED,CND,DRND SOL 1 cup;214;0;12;14;1 cup
PEPPERS,JALAPENO,CND,SOL&LIQUIDS;PEPPERS,JALAPENO,CND,SOL&LIQUIDS 1 cup, chopped;474;0;27;92;1 cup, chopped
PEPPERS,SWT,GRN,FREEZE-DRIED;PEPPERS,SWT,GRN,FREEZE-DRIED 1 tbsp;687;0;314;179;1 tbsp
RADISHES,WHITE ICICLE,RAW;RADISHES,WHITE ICICLE,RAW .5 cup, slices;263;0;14;11;.5 cup, slices
SHALLOTS,FREEZE-DRIED;SHALLOTS,FREEZE-DRIED 1 tbsp;807;0;348;123;1 tbsp
SQUASH,SMMR,ALL VAR,RAW;SQUASH,SMMR,ALL VAR,RAW 1 cup, sliced;335;0;16;121;1 cup, sliced
SQUASH,SMMR,ALL VAR,CKD,BLD,DRND,WO/SALT;SQUASH,SMMR,ALL VAR,CKD,BLD,DRND,WO/SALT 1 cup, sliced;431;0;20;91;1 cup, sliced
SQUASH,WNTR,ALL VAR,RAW;SQUASH,WNTR,ALL VAR,RAW 1 cup, cubes;859;0;34;95;1 cup, cubes
SQUASH,WNTR,ALL VAR,CKD,BKD,WO/SALT;SQUASH,WNTR,ALL VAR,CKD,BKD,WO/SALT 1 cup, cubes;885;0;37;89;1 cup, cubes
SWEET POTATO,CND,SYRUP PK,SOL & LIQUIDS;SWEET POTATO,CND,SYRUP PK,SOL & LIQUIDS 1 cup;2093;0;89;98;1 cup
SWEET POTATO,CND,SYRUP PK,DRND SOL;SWEET POTATO,CND,SYRUP PK,DRND SOL 1 cup;2536;0;108;128;1 cup
TOMATO PRODUCTS,CND,SAU,SPANISH STYLE;TOMATO PRODUCTS,CND,SAU,SPANISH STYLE 1 cup;724;0;33;144;1 cup
BEANS,PINTO,MATURE SEEDS,SPROUTED,RAW;BEANS,PINTO,MATURE SEEDS,SPROUTED,RAW ;116;0;62;525;
BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT;BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT ;41;0;22;186;
CARROT JUICE,CANNED;CARROT JUICE,CANNED 1 cup;928;0;40;95;1 cup
CORN PUDD,HOME PREP;CORN PUDD,HOME PREP 1 cup;170;74;131;435;1 cup
POTATOES,MSHD,HOME-PREPARED,WHL MILK ADDED;POTATOES,MSHD,HOME-PREPARED,WHL MILK ADDED 1 cup;1753;2;83;192;1 cup
SPINACH SOUFFLE;SPINACH SOUFFLE 1 cup;582;118;171;791;1 cup
SWEET POTATO,CKD,CANDIED,HOME-PREPARED;"SWEET POTATO,CKD,CANDIED,HOME-PREPARED 1 piece,  (2-1/2"" x 2"" dia)";2786;8;144;87;"1 piece,  (2-1/2"" x 2"" dia)"
TOMATOES,RED,RIPE,CKD,STWD;TOMATOES,RED,RIPE,CKD,STWD 1 cup;1305;0;79;196;1 cup
SEAWEED,AGAR,DRIED;SEAWEED,AGAR,DRIED ;8088;0;306;621;
SEAWEED,SPIRULINA,RAW;SEAWEED,SPIRULINA,RAW ;242;0;26;592;
SEAWEED,SPIRULINA,DRIED;SEAWEED,SPIRULINA,DRIED 1 cup;239;0;290;5747;1 cup
SEAWEED,WAKAME,RAW;SEAWEED,WAKAME,RAW 2 tbsp,  (1/8 cup);914;0;45;303;2 tbsp,  (1/8 cup)
PEPPERS,HOT CHILI,GRN,RAW;PEPPERS,HOT CHILI,GRN,RAW 1 pepper;946;0;40;20;1 pepper
POTATOES,O'BRIEN,HOME-PREPARED;POTATOES,O'BRIEN,HOME-PREPARED 1 cup;1547;4;81;235;1 cup
POTATO PANCAKES;POTATO PANCAKES 1 small,  2-3/4 in. dia., 5/8 in. thick.;279;95;269;606;1 small,  2-3/4 in. dia., 5/8 in. thick.
POTATO,BKD,FLESH & SKN,WO/ SALT;POTATO,BKD,FLESH & SKN,WO/ SALT 1 potato, large;2115;0;93;25;1 potato, large
POTATOES,MICROWAVED,CKD IN SKN,FLESH&SKN,WO/SALT;"POTATOES,MICROWAVED,CKD IN SKN,FLESH&SKN,WO/SALT 1 potato,  (2-3/4"" dia by 4-3/4"" long)";2424;0;105;244;"1 potato,  (2-3/4"" dia by 4-3/4"" long)"
RADISH SEEDS,SPROUTED,RAW;RADISH SEEDS,SPROUTED,RAW 1 cup;36;0;43;381;1 cup
SHALLOTS,RAW;SHALLOTS,RAW 1 tbsp, chopped;168;0;72;25;1 tbsp, chopped
CARROT,DEHYDRATED;CARROT,DEHYDRATED 1 cup;7957;0;341;81;1 cup
TOMATOES,CRUSHED,CANNED;TOMATOES,CRUSHED,CANNED ;729;0;32;164;
TOMATOES,ORANGE,RAW;TOMATOES,ORANGE,RAW 1 cup, chopped;318;0;16;116;1 cup, chopped
TOMATOES,YELLOW,RAW;TOMATOES,YELLOW,RAW 1 cup, chopped;298;0;15;98;1 cup, chopped
ARROWROOT,RAW;ARROWROOT,RAW 1 cup, sliced;1339;0;65;424;1 cup, sliced
CHRYSANTHEMUM LEAVES,RAW;CHRYSANTHEMUM LEAVES,RAW 1 cup, chopped;301;0;24;336;1 cup, chopped
AMARANTH LEAVES,CKD,BLD,DRND,W/SALT;AMARANTH LEAVES,CKD,BLD,DRND,W/SALT 1 cup;411;0;21;211;1 cup
ARROWHEAD,CKD,BLD,DRND,W/SALT;ARROWHEAD,CKD,BLD,DRND,W/SALT 1 corm,  medium;1614;0;78;449;1 corm,  medium
ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT;ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT 1 artichoke,  medium;1195;0;53;289;1 artichoke,  medium
ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT;ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT 1 cup;918;0;45;311;1 cup
ASPARAGUS,CKD,BLD,DRND,W/SALT;ASPARAGUS,CKD,BLD,DRND,W/SALT .5 cup;411;0;22;24;.5 cup
ASPARAGUS,CND,NO SALT,SOL&LIQUIDS;ASPARAGUS,CND,NO SALT,SOL&LIQUIDS .5 cup;248;0;15;18;.5 cup
ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT;ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT 1 cup;192;0;18;295;1 cup
BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,W/SALT;BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,W/SALT 1 cup;616;0;32;36;1 cup
BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,W/SALT;"BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,W/SALT 1 cup,  (1/2"" pieces)";432;0;19;84;"1 cup,  (1/2"" pieces)"
BAMBOO SHOOTS,CKD,BLD,DRND,W/SALT;"BAMBOO SHOOTS,CKD,BLD,DRND,W/SALT 1 cup,  (1/2"" slices)";152;0;11;153;"1 cup,  (1/2"" slices)"
BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT;BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT ;472;0;33;483;
LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT;LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT 1 cup;2364;0;123;681;1 cup
LIMA BNS,IMMAT SEEDS,CND,NO SALT,SOL&LIQUIDS;LIMA BNS,IMMAT SEEDS,CND,NO SALT,SOL&LIQUIDS .5 cup;1333;0;71;407;.5 cup
LIMA BNS,IMMAT SEEDS,FRZ,BABY,CKD,BLD,DRND,W/SALT;LIMA BNS,IMMAT SEEDS,FRZ,BABY,CKD,BLD,DRND,W/SALT 1 package,  (10 oz) yields;1945;0;105;665;1 package,  (10 oz) yields
LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,CKD,BLD,DRND,W/SALT;LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,CKD,BLD,DRND,W/SALT 1 package,  (10 oz) yields;1932;0;103;607;1 package,  (10 oz) yields
MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT;MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT 1 cup;36;0;19;203;1 cup
BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT;BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT ;1501;0;78;707;
BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT;BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT 1 package,  (10 oz) yields;3088;0;162;931;1 package,  (10 oz) yields
BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT;BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT ;35;0;20;186;
BEANS,SNAP,YELLOW,RAW;BEANS,SNAP,YELLOW,RAW 1 cup;714;0;31;182;1 cup
BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT;BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT 1 cup;788;0;35;189;1 cup
BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT;BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT 1 cup;788;0;35;189;1 cup
BEANS,SNAP,YEL,CKD,BLD,DRND,W/SALT;BEANS,SNAP,YEL,CKD,BLD,DRND,W/SALT 1 cup;788;0;35;189;1 cup
BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS;BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS .5 cup;35;0;15;8;.5 cup
BEANS,SNAP,YEL,CND,REG PK,SOL&LIQUIDS;BEANS,SNAP,YEL,CND,REG PK,SOL&LIQUIDS .5 cup;35;0;15;8;.5 cup
BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS;BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS .5 cup;35;0;15;8;.5 cup
BEANS,SNAP,GRN,CND,NO SALT,DRND SOL;BEANS,SNAP,GRN,CND,NO SALT,DRND SOL 1 cup;45;0;20;115;1 cup
BEANS,SNAP,YEL,FRZ,ALL STYLES,UNPREP;BEANS,SNAP,YEL,FRZ,ALL STYLES,UNPREP 1 cup;757;0;33;18;1 cup
BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT;BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT 1 cup;586;0;26;149;1 cup
BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT;BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT 1 cup;645;0;28;149;1 cup
BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT;BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT 1 cup;586;0;26;149;1 cup
BEETS,CKD,BOILED. DRND,W/SALT;BEETS,CKD,BOILED. DRND,W/SALT .5 cup, slices;996;0;44;168;.5 cup, slices
BEETS,CND,NO SALT,SOL&LIQUIDS;BEETS,CND,NO SALT,SOL&LIQUIDS 1 cup;657;0;28;8;1 cup
BEET GRNS,CKD,BLD,DRND,W/SALT;"BEET GRNS,CKD,BLD,DRND,W/SALT 1 cup,  (1"" pieces)";546;0;27;257;"1 cup,  (1"" pieces)"
BORAGE,CKD,BLD,DRND,W/SALT;BORAGE,CKD,BLD,DRND,W/SALT ;355;0;25;209;
BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT;BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT ;101;0;62;48;
BROCCOLI,LEAVES,RAW;BROCCOLI,LEAVES,RAW ;524;0;28;298;
BROCCOLI,FLOWER CLUSTERS,RAW;BROCCOLI,FLOWER CLUSTERS,RAW 1 cup,  flowerets;524;0;28;298;1 cup,  flowerets
BROCCOLI,STALKS,RAW;BROCCOLI,STALKS,RAW 1 stalk;524;0;28;298;1 stalk
BROCCOLI,CKD,BLD,DRND,W/SALT;"BROCCOLI,CKD,BLD,DRND,W/SALT 1 stalk,  large (11""-12"" long)";718;0;35;238;"1 stalk,  large (11""-12"" long)"
BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,W/SALT;BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,W/SALT 1 cup;535;0;28;31;1 cup
