Descrição,Quilocalorias,Carbohidratos,Proteínas,Data.Fat.Total Lipid,Peso (g)
LAMB.AUS.IMP.FRSH.FAT.RAW,648,0,6.27,68.87,28.35
"LAMB.AUS.IMP.FRSH.FORESHANK.LN&FAT.1/8""FAT.CKD.BRSD",236,0,24.78,14.44,211
"LAMB.AUS.IMP.FRSH.FORESHANK.LN&FAT.1/8""FAT.RAW",195,0,18.85,12.68,28.35
"LAMB.AUS.IMP.FRSH.FORESHANK.LN.1/8""FAT.CKD.BRSD",165,0,27.5,5.22,180
"LAMB.AUS.IMP.FRSH.FORESHANK.LN.1/8""FAT.RAW",123,0,20.83,3.81,28.35
"LAMB.AUS.IMP.FRSH.LEG.CNTR SLCE.BNE-IN.LN&FT.1/8""FT.CKD.BRLD",215,0,25.54,11.78,85
"LAMB.AUS.IMP.FRSH.LEG.CNTR SLICE.BONE-IN.LN&FAT.1/8""FAT.RAW",195,0,19.17,12.56,28.35
"LAMB.AUS.IMP.FRSH.LEG.CNTR SLICE.BONE-IN.LN.1/8""FAT.CKD.BRLD",183,0,26.75,7.68,85
"LAMB.AUS.IMP.FRSH.LEG.CNTR SLICE.BONE-IN.LN.1/8""FAT.RAW",143,0,20.65,06.08,28.35
"LAMB.AUS.IMP.FRSH.LEG.SHANK HALF.LN&FAT.1/8""FAT.CKD.RSTD",231,0,25.25,13.69,277
"LAMB.AUS.IMP.FRSH.LEG.SHANK HALF.LN&FAT.1/8""FAT.RAW",201,0,18.59,13.48,28.35
"LAMB.AUS.IMP.FRSH.LEG.SHANK HALF.LN.1/8""FAT.CKD.RSTD",182,0,27.18,7.27,246
"LAMB.AUS.IMP.FRSH.LEG.SHANK HALF.LN.1/8""FAT.RAW",133,0,20.45,5.1,28.35
"LAMB.AUS.IMP.FRSH.LEG.SIRL CHOPS.BNLESS.LN&FAT.1/8""FAT.RAW",208,0,18.33,14.38,28.35
"LAMB.AUS.IMP.FRSH.LEG.SIRL CHOPS.BNLESS.LN.1/8""FAT.CKD.BRLD",188,0,27.63,7.8,85
"LAMB.AUS.IMP.FRSH.LEG.SIRL CHPS.BNLESS.LN&FT.1/8""FT.CKD.BRLD",235,0,25.75,13.83,85
"LAMB.AUS.IMP.FRSH.LEG.SIRL HALF.BNLESS.LN.1/8""FAT.CKD.RSTD",215,0,27.75,10.65,259
"LAMB.AUS.IMP.FRSH.LEG.SIRL HLF.BNLESS.LN&FT.1/8""FAT.CKD.RSTD",281,0,24.88,19.38,306
"LAMB.AUS.IMP.FRSH.LEG.SIRLOIN CHOPS.BNLESS.LN.1/8""FAT.RAW",132,0,20.43,4.91,28.35
"LAMB.AUS.IMP.FRSH.LEG.SIRLOIN HALF.BNLESS.LN&FAT.1/8""FAT.RAW",254,0,17.25,20,28.35
"LAMB.AUS.IMP.FRSH.LEG.SIRLOIN HALF.BNLESS.LN.1/8""FAT.RAW",138,0,20.48,5.64,28.35
"LAMB.AUS.IMP.FRSH.LEG.WHL (SHK&SIRL).LN&FAT.1/8""FAT.CKD.RSTD",244,0,25.16,15.13,284
"LAMB.AUS.IMP.FRSH.LEG.WHL (SHK&SIRL).LN&FAT.1/8""FAT.RAW",215,0,18.24,15.19,28.35
"LAMB.AUS.IMP.FRSH.LEG.WHL (SHK&SIRL).LN.1/8""FAT.CKD.RSTD",190,0,27.31,8.1,251
"LAMB.AUS.IMP.FRSH.LEG.WHL (SHK&SIRL).LN.1/8""FAT.RAW",135,0,20.46,5.23,28.35
"LAMB.AUS.IMP.FRSH.LOIN.LN&FAT.1/8""FAT.CKD.BRLD",219,0,25.49,12.25,85
"LAMB.AUS.IMP.FRSH.LOIN.LN&FAT.1/8""FAT.RAW",203,0,19.32,13.38,28.35
"LAMB.AUS.IMP.FRSH.LOIN.LN.1/8""FAT.CKD.BRLD",192,0,26.53,8.75,85
"LAMB.AUS.IMP.FRSH.LOIN.LN.1/8""FAT.RAW",146,0,21,6.24,28.35
"LAMB.AUS.IMP.FRSH.RIB.LN&FAT.1/8""FAT.CKD.RSTD",277,0,22.24,20.21,286
"LAMB.AUS.IMP.FRSH.RIB.LN&FAT.1/8""FAT.RAW",289,0,16.46,24.2,28.35
"LAMB.AUS.IMP.FRSH.RIB.LN.1/8""FAT.CKD.RSTD",210,0,24.63,11.6,241
"LAMB.AUS.IMP.FRSH.RIB.LN.1/8""FAT.RAW",160,0,20.12,8.2,28.35
"LAMB.AUS.IMP.FRSH.SHLDR.ARM.LN&FAT.1/8""FAT.CKD.BRSD",311,0,29.7,20.38,85
"LAMB.AUS.IMP.FRSH.SHLDR.ARM.LN&FAT.1/8""FAT.RAW",243,0,17.06,18.89,28.35
"LAMB.AUS.IMP.FRSH.SHLDR.ARM.LN.1/8""FAT.CKD.BRSD",238,0,34.17,10.23,85
"LAMB.AUS.IMP.FRSH.SHLDR.ARM.LN.1/8""FAT.RAW",137,0,19.88,5.81,28.35
"LAMB.AUS.IMP.FRSH.SHLDR.BLADE.LN&FAT.1/8""FAT.CKD.BRLD",291,0,21.71,22.03,273
"LAMB.AUS.IMP.FRSH.SHLDR.BLADE.LN&FAT.1/8""FAT.RAW",262,0,16.48,21.28,28.35
"LAMB.AUS.IMP.FRSH.SHLDR.BLADE.LN.1/8""FAT.CKD.BRLD",231,0,23.83,14.38,233
"LAMB.AUS.IMP.FRSH.SHLDR.BLADE.LN.1/8""FAT.RAW",164,0,19.1,09.09,28.35
"LAMB.AUS.IMP.FRSH.SHLDR.WHL (ARM&BLD).LN&FAT.1/8""FAT.CKD",296,0,23.58,21.65,262
"LAMB.AUS.IMP.FRSH.SHLDR.WHL (ARM&BLD).LN&FAT.1/8""FAT.RAW",256,0,16.68,20.47,28.35
"LAMB.AUS.IMP.FRSH.SHLDR.WHL (ARM&BLD).LN.1/8""FAT.CKD",233,0,26.18,13.44,222
"LAMB.AUS.IMP.FRSH.SHLDR.WHL (ARM&BLD).LN.1/8""FAT.RAW",155,0,19.36,08.01,28.35
"LAMB.DOM.COMP OF RTL CUTS.FAT.1/4""FAT.CHOIC.CKD",586,0,12.16,59.18,286
"LAMB.DOM.COMP OF RTL CUTS.FAT.1/4""FAT.CHOIC.RAW",665,0,6.65,70.61,28.35
"LAMB.DOM.COMP OF RTL CUTS.LN&FAT.1/4""FAT.CHOIC.CKD",294,0,24.52,20.94,242
"LAMB.DOM.COMP OF RTL CUTS.LN&FAT.1/4""FAT.CHOIC.RAW",267,0,16.88,21.59,28.35
"LAMB.DOM.COMP OF RTL CUTS.LN&FAT.1/8""FAT.CHOIC.CKD",271,0,25.51,18.01,250
"LAMB.DOM.COMP OF RTL CUTS.LN&FAT.1/8""FAT.CHOIC.RAW",243,0,17.54,18.66,28.35
"LAMB.DOM.COMP OF RTL CUTS.LN.1/4""FAT.CHOIC.CKD",206,0,28.22,9.52,187
"LAMB.DOM.COMP OF RTL CUTS.LN.1/4""FAT.CHOIC.RAW",134,0,20.29,5.25,28.35
"LAMB.DOM.CUBED FOR STEW (LEG&SHLDR).LN.1/4""FAT.CKD.BRLD",186,0,28.08,7.33,327
"LAMB.DOM.CUBED FOR STEW (LEG&SHLDR).LN.1/4""FAT.CKD.BRSD",223,0,33.69,8.8,272
"LAMB.DOM.CUBED FOR STEW OR KABOB (LEG&SHLDR).LN.1/4""FAT.RAW",134,0,20.21,5.28,28.35
"LAMB.DOM.FORESHANK.LN&FAT.1/4""FAT.CHOIC.CKD.BRSD",243,0,28.37,13.46,148
"LAMB.DOM.FORESHANK.LN&FAT.1/4""FAT.CHOIC.RAW",201,0,18.91,13.38,28.35
"LAMB.DOM.FORESHANK.LN&FAT.1/8""FAT.CHOIC.RAW",201,0,18.91,13.38,28.35
"LAMB.DOM.FORESHANK.LN&FAT.1/8""FAT.CKD.BRSD",243,0,28.37,13.46,148
"LAMB.DOM.FORESHANK.LN.1/4""FAT.CHOIC.CKD.BRSD",187,0,31.01,06.02,128
"LAMB.DOM.FORESHANK.LN.1/4""FAT.CHOIC.RAW",120,0,21.08,3.29,28.35
"LAMB.DOM.LEG.SHANK HALF.LN&FAT.1/4""FAT.CHOIC.CKD.RSTD",225,0,26.41,12.45,269
"LAMB.DOM.LEG.SHANK HALF.LN&FAT.1/4""FAT.CHOIC.RAW",201,0,18.58,13.49,28.35
"LAMB.DOM.LEG.SHANK HALF.LN&FAT.1/8""FAT.CHOIC.CKD.RSTD",217,0,26.73,11.4,267
"LAMB.DOM.LEG.SHANK HALF.LN&FAT.1/8""FAT.CHOIC.RAW",185,0,18.99,11.5,28.35
"LAMB.DOM.LEG.SHANK HALF.LN.1/4""FAT.CHOIC.CKD.RSTD",180,0,28.17,6.67,238
"LAMB.DOM.LEG.SHANK HALF.LN.1/4""FAT.CHOIC.RAW",125,0,20.52,4.19,28.35
"LAMB.DOM.LEG.SIRLOIN HALF.LN&FAT.1/4""FAT.CHOIC.CKD.RSTD",292,0,24.63,20.67,262
"LAMB.DOM.LEG.SIRLOIN HALF.LN&FAT.1/4""FAT.CHOIC.RAW",272,0,16.94,22.11,28.35
"LAMB.DOM.LEG.SIRLOIN HALF.LN&FAT.1/8""FAT.CHOIC.CKD.RSTD",284,0,24.95,19.67,260
"LAMB.DOM.LEG.SIRLOIN HALF.LN&FAT.1/8""FAT.CHOIC.RAW",261,0,17.21,20.8,28.35
"LAMB.DOM.LEG.SIRLOIN HALF.LN.1/4""FAT.CHOIC.CKD.RSTD",204,0,28.35,9.17,201
"LAMB.DOM.LEG.SIRLOIN HALF.LN.1/4""FAT.CHOIC.RAW",134,0,20.55,05.08,28.35
"LAMB.DOM.LEG.WHL (SHK&SIRL).LN&FAT.1/4""FAT.CHOIC.CKD.RSTD",258,0,25.55,16.48,265
"LAMB.DOM.LEG.WHL (SHK&SIRL).LN&FAT.1/4""FAT.CHOIC.RAW",230,0,17.91,17.07,28.35
"LAMB.DOM.LEG.WHL (SHK&SIRL).LN&FAT.1/8""FAT.CHOIC.CKD.RSTD",242,0,26.2,14.42,260
"LAMB.DOM.LEG.WHL (SHK&SIRL).LN&FAT.1/8""FAT.CHOIC.RAW",209,0,18.47,14.42,28.35
"LAMB.DOM.LEG.WHL (SHK&SIRL).LN.1/4""FAT.CHOIC.CKD.RSTD",191,0,28.3,7.74,218
"LAMB.DOM.LEG.WHL (SHK&SIRL).LN.1/4""FAT.CHOIC.RAW",128,0,20.56,4.51,28.35
"LAMB.DOM.LOIN.LN&FAT.1/4""FAT.CHOIC.CKD.BRLD",316,0,25.17,23.08,85
"LAMB.DOM.LOIN.LN&FAT.1/4""FAT.CHOIC.CKD.RSTD",309,0,22.55,23.59,269
"LAMB.DOM.LOIN.LN&FAT.1/4""FAT.CHOIC.RAW",310,0,16.32,26.63,28.35
"LAMB.DOM.LOIN.LN&FAT.1/8""FAT.CHOIC.CKD.BRLD",297,0,26.06,20.61,85
"LAMB.DOM.LOIN.LN&FAT.1/8""FAT.CHOIC.CKD.RSTD",290,0,23.27,21.12,265
"LAMB.DOM.LOIN.LN&FAT.1/8""FAT.CHOIC.RAW",279,0,17.18,22.75,28.35
"LAMB.DOM.LOIN.LN.1/4""FAT.CHOIC.CKD.BRLD",216,0,29.99,9.73,85
"LAMB.DOM.LOIN.LN.1/4""FAT.CHOIC.CKD.RSTD",202,0,26.59,9.76,193
"LAMB.DOM.LOIN.LN.1/4""FAT.CHOIC.RAW",143,0,20.88,5.94,28.35
"LAMB.DOM.RIB.LN&FAT.1/4""FAT.CHOIC.CKD.BRLD",361,0,22.13,29.59,229
"LAMB.DOM.RIB.LN&FAT.1/4""FAT.CHOIC.CKD.RSTD",359,0,21.12,29.82,255
"LAMB.DOM.RIB.LN&FAT.1/4""FAT.CHOIC.RAW",372,0,14.52,34.39,28.35
"LAMB.DOM.RIB.LN&FAT.1/8""FAT.CHOIC.CKD.BRLD",340,0,23.06,26.82,222
"LAMB.DOM.RIB.LN&FAT.1/8""FAT.CHOIC.CKD.RSTD",341,0,21.82,27.53,248
"LAMB.DOM.RIB.LN&FAT.1/8""FAT.CHOIC.RAW",342,0,15.32,30.71,28.35
"LAMB.DOM.RIB.LN.1/4""FAT.CHOIC.CKD.BRLD",235,0,27.74,12.95,147
"LAMB.DOM.RIB.LN.1/4""FAT.CHOIC.CKD.RSTD",232,0,26.16,13.31,159
"LAMB.DOM.RIB.LN.1/4""FAT.CHOIC.RAW",169,0,19.98,9.23,28.35
"LAMB.DOM.SHLDR.ARM.LN&FAT.1/4""FAT.CHOIC.CKD.BRLD",281,0,24.44,19.55,85
"LAMB.DOM.SHLDR.ARM.LN&FAT.1/4""FAT.CHOIC.CKD.BRSD",346,0,30.39,24,85
"LAMB.DOM.SHLDR.ARM.LN&FAT.1/4""FAT.CHOIC.CKD.RSTD",279,0,22.53,20.24,286
"LAMB.DOM.SHLDR.ARM.LN&FAT.1/4""FAT.CHOIC.RAW",260,0,16.79,20.9,28.35
"LAMB.DOM.SHLDR.ARM.LN&FAT.1/8""FAT.CHOIC.CKD.BRSD",337,0,31.1,22.65,85
"LAMB.DOM.SHLDR.ARM.LN&FAT.1/8""FAT.CHOIC.RAW",244,0,17.19,18.94,28.35
"LAMB.DOM.SHLDR.ARM.LN&FAT.1/8""FAT.CHOIC.RSTD",267,0,22.93,18.75,284
"LAMB.DOM.SHLDR.ARM.LN&FAT.1/8""FAT.CKD.BRLD",269,0,24.91,18.05,85
"LAMB.DOM.SHLDR.ARM.LN.1/4""FAT.CHOIC.CKD.BRLD",200,0,27.71,09.02,85
"LAMB.DOM.SHLDR.ARM.LN.1/4""FAT.CHOIC.CKD.BRSD",279,0,35.54,14.08,85
"LAMB.DOM.SHLDR.ARM.LN.1/4""FAT.CHOIC.CKD.RSTD",192,0,25.46,9.26,224
"LAMB.DOM.SHLDR.ARM.LN.1/4""FAT.CHOIC.RAW",132,0,19.99,5.2,28.35
"LAMB.DOM.SHLDR.BLADE.LN&FAT.1/4""FAT.CHOIC.CKD.BRLD",278,0,23.08,19.94,252
"LAMB.DOM.SHLDR.BLADE.LN&FAT.1/4""FAT.CHOIC.CKD.BRSD",345,0,28.51,24.73,209
"LAMB.DOM.SHLDR.BLADE.LN&FAT.1/4""FAT.CHOIC.CKD.RSTD",281,0,22.25,20.61,258
"LAMB.DOM.SHLDR.BLADE.LN&FAT.1/4""FAT.CHOIC.RAW",259,0,16.63,20.86,28.35
"LAMB.DOM.SHLDR.BLADE.LN&FAT.1/8""FAT.CHOIC.CKD.BRLD",267,0,23.48,18.5,250
"LAMB.DOM.SHLDR.BLADE.LN&FAT.1/8""FAT.CHOIC.CKD.BRSD",339,0,28.92,23.88,207
"LAMB.DOM.SHLDR.BLADE.LN&FAT.1/8""FAT.CHOIC.CKD.RSTD",270,0,22.62,19.19,256
"LAMB.DOM.SHLDR.BLADE.LN&FAT.1/8""FAT.CHOIC.RAW",244,0,17.01,18.97,28.35
"LAMB.DOM.SHLDR.BLADE.LN.1/4""FAT.CHOIC.CKD.BRLD",211,0,25.48,11.32,207
"LAMB.DOM.SHLDR.BLADE.LN.1/4""FAT.CHOIC.CKD.BRSD",288,0,32.35,16.64,168
"LAMB.DOM.SHLDR.BLADE.LN.1/4""FAT.CHOIC.CKD.RSTD",209,0,24.61,11.57,210
"LAMB.DOM.SHLDR.BLADE.LN.1/4""FAT.CHOIC.RAW",151,0,19.29,7.63,28.35
"LAMB.DOM.SHLDR.WHL (ARM&BLD).LN&FAT.1/4""FAT.CHOIC.CKD.BRLD",278,0,24.42,19.26,248
"LAMB.DOM.SHLDR.WHL (ARM&BLD).LN&FAT.1/4""FAT.CHOIC.CKD.BRSD",344,0,28.68,24.55,218
"LAMB.DOM.SHLDR.WHL (ARM&BLD).LN&FAT.1/4""FAT.CHOIC.CKD.RSTD",276,0,22.51,19.97,269
"LAMB.DOM.SHLDR.WHL (ARM&BLD).LN&FAT.1/4""FAT.CHOIC.RAW",264,0,16.58,21.45,28.35
"LAMB.DOM.SHLDR.WHL (ARM&BLD).LN&FAT.1/8""FAT.CHOIC.CKD.BRLD",268,0,23.84,18.39,242
"LAMB.DOM.SHLDR.WHL (ARM&BLD).LN&FAT.1/8""FAT.CHOIC.CKD.BRSD",338,0,29.46,23.57,213
"LAMB.DOM.SHLDR.WHL (ARM&BLD).LN&FAT.1/8""FAT.CHOIC.CKD.RSTD",269,0,22.7,19.08,263
"LAMB.DOM.SHLDR.WHL (ARM&BLD).LN&FAT.1/8""FAT.CHOIC.RAW",244,0,17.07,18.96,28.35
"LAMB.DOM.SHLDR.WHL (ARM&BLD).LN.1/4""FAT.CHOIC.CKD.BRLD",210,0,27.12,10.5,202
"LAMB.DOM.SHLDR.WHL (ARM&BLD).LN.1/4""FAT.CHOIC.CKD.BRSD",283,0,32.81,15.89,174
"LAMB.DOM.SHLDR.WHL (ARM&BLD).LN.1/4""FAT.CHOIC.CKD.RSTD",204,0,24.94,10.77,217
"LAMB.DOM.SHLDR.WHL (ARM&BLD).LN.1/4""FAT.CHOIC.RAW",144,0,19.55,6.76,28.35
LAMB.GROUND.CKD.BRLD,283,0,24.75,19.65,313
LAMB.GROUND.RAW,282,0,16.56,23.41,28.35
LAMB.NZ.IMP.FRZ.COMP OF RTL CUTS.FAT.CKD,586,0,9.72,60.39,286
LAMB.NZ.IMP.FRZ.COMP OF RTL CUTS.FAT.RAW,640,0,6.92,67.63,28.35
"LAMB.NZ.IMP.FRZ.COMP OF RTL CUTS.LN&FAT.1/8""FAT.CKD",270,0,25.26,17.98,242
"LAMB.NZ.IMP.FRZ.COMP OF RTL CUTS.LN&FAT.1/8""FAT.RAW",232,0,17.95,17.2,28.35
LAMB.NZ.IMP.FRZ.COMP OF RTL CUTS.LN&FAT.CKD,305,0,24.42,22.26,222
LAMB.NZ.IMP.FRZ.COMP OF RTL CUTS.LN&FAT.RAW,277,0,16.74,22.74,28.35
LAMB.NZ.IMP.FRZ.COMP OF RTL CUTS.LN.CKD,206,0,29.59,8.86,164
LAMB.NZ.IMP.FRZ.COMP OF RTL CUTS.LN.RAW,128,0,20.75,4.41,28.35
"LAMB.NZ.IMP.FRZ.FORESHANK.LN&FAT.1/8""FAT.CKD.BRSD",258,0,26.97,15.83,168
"LAMB.NZ.IMP.FRZ.FORESHANK.LN&FAT.1/8""FAT.RAW",223,0,18.04,16.15,28.35
LAMB.NZ.IMP.FRZ.FORESHANK.LN&FAT.CKD.BRSD,258,0,26.97,15.83,168
LAMB.NZ.IMP.FRZ.FORESHANK.LN&FAT.RAW,223,0,18.04,16.15,28.35
LAMB.NZ.IMP.FRZ.FORESHANK.LN.CKD.BRSD,186,0,30.76,06.04,138
LAMB.NZ.IMP.FRZ.FORESHANK.LN.RAW,118,0,20.82,3.28,28.35
"LAMB.NZ.IMP.FRZ.LEG.WHL (SHK&SIRL).LN&FAT.1/8""FAT.CKD.RSTD",234,0,25.34,13.95,253
"LAMB.NZ.IMP.FRZ.LEG.WHL (SHK&SIRL).LN&FAT.1/8""FAT.RAW",201,0,18.76,13.37,28.35
LAMB.NZ.IMP.FRZ.LEG.WHL (SHK&SIRL).LN&FAT.CKD.RSTD,246,0,24.81,15.56,258
LAMB.NZ.IMP.FRZ.LEG.WHL (SHK&SIRL).LN&FAT.RAW,216,0,18.34,15.29,28.35
LAMB.NZ.IMP.FRZ.LEG.WHL (SHK&SIRL).LN.CKD.RSTD,181,0,27.68,07.01,218
LAMB.NZ.IMP.FRZ.LEG.WHL (SHK&SIRL).LN.RAW,123,0,20.85,3.8,28.35
"LAMB.NZ.IMP.FRZ.LOIN.LN&FAT.1/8""FAT.CKD.BRLD",296,0,24.41,21.28,85
"LAMB.NZ.IMP.FRZ.LOIN.LN&FAT.1/8""FAT.RAW",273,0,17.18,22.1,28.35
LAMB.NZ.IMP.FRZ.LOIN.LN&FAT.CKD.BRLD,315,0,23.43,23.88,85
LAMB.NZ.IMP.FRZ.LOIN.LN&FAT.RAW,303,0,16.33,25.9,28.35
LAMB.NZ.IMP.FRZ.LOIN.LN.CKD.BRLD,199,0,29.31,8.24,85
LAMB.NZ.IMP.FRZ.LOIN.LN.RAW,130,0,21.17,4.4,28.35
"LAMB.NZ.IMP.FRZ.RIB.LN&FAT.1/8""FAT.CKD.RSTD",317,0,19.86,25.74,233
"LAMB.NZ.IMP.FRZ.RIB.LN&FAT.1/8""FAT.RAW",311,0,15.87,27,28.35
LAMB.NZ.IMP.FRZ.RIB.LN&FAT.CKD.RSTD,340,0,18.98,28.75,241
LAMB.NZ.IMP.FRZ.RIB.LN&FAT.RAW,346,0,14.92,31.31,28.35
LAMB.NZ.IMP.FRZ.RIB.LN.CKD.RSTD,196,0,24.42,10.16,152
LAMB.NZ.IMP.FRZ.RIB.LN.RAW,142,0,20.49,06.06,28.35
"LAMB.NZ.IMP.FRZ.SHLDR.WHL (ARM&BLD).LN&FAT.1/8""FAT.CKD.BRSD",342,0,29.43,24.03,233
"LAMB.NZ.IMP.FRZ.SHLDR.WHL (ARM&BLD).LN&FAT.1/8""FAT.RAW",251,0,17.19,19.74,28.35
LAMB.NZ.IMP.FRZ.SHLDR.WHL (ARM&BLD).LN&FAT.CKD.BRSD,357,0,28.21,26.27,206
LAMB.NZ.IMP.FRZ.SHLDR.WHL (ARM&BLD).LN&FAT.RAW,272,0,16.65,22.23,28.35
LAMB.NZ.IMP.FRZ.SHLDR.WHL (ARM&BLD).LN.CKD.BRSD,285,0,34.06,15.5,157
LAMB.NZ.IMP.FRZ.SHLDR.WHL (ARM&BLD).LN.RAW,135,0,20.25,5.43,28.35
LAMB.VAR MEATS&BY-PRODUCTS.BRAIN.CKD.BRSD,145,0,12.55,10.17,347
LAMB.VAR MEATS&BY-PRODUCTS.BRAIN.CKD.PAN-FRIED,273,0,16.97,22.19,240
LAMB.VAR MEATS&BY-PRODUCTS.BRAIN.RAW,122,0,10.4,8.58,28.35
LAMB.VAR MEATS&BY-PRODUCTS.HEART.CKD.BRSD,185,1.93,24.97,7.91,191
LAMB.VAR MEATS&BY-PRODUCTS.HEART.RAW,122,0.21,16.47,5.68,28.35
LAMB.VAR MEATS&BY-PRODUCTS.KIDNEYS.CKD.BRSD,137,0.99,23.65,3.62,255
LAMB.VAR MEATS&BY-PRODUCTS.KIDNEYS.RAW,97,0.82,15.74,2.95,28.35
LAMB.VAR MEATS&BY-PRODUCTS.LIVER.CKD.BRSD,220,2.53,30.57,8.81,336
LAMB.VAR MEATS&BY-PRODUCTS.LIVER.CKD.PAN-FRIED,238,3.78,25.53,12.65,322
LAMB.VAR MEATS&BY-PRODUCTS.LIVER.RAW,139,1.78,20.38,05.02,28.35
LAMB.VAR MEATS&BY-PRODUCTS.LUNGS.CKD.BRSD,113,0,19.88,3.1,381
LAMB.VAR MEATS&BY-PRODUCTS.LUNGS.RAW,95,0,16.7,2.6,28.35
LAMB.VAR MEATS&BY-PRODUCTS.MECHANICALLY SEPARATED.RAW,276,0,14.97,23.54,28.35
LAMB.VAR MEATS&BY-PRODUCTS.PANCREAS.CKD.BRSD,234,0,22.83,15.12,231
LAMB.VAR MEATS&BY-PRODUCTS.PANCREAS.RAW,152,0,14.84,9.82,28.35
LAMB.VAR MEATS&BY-PRODUCTS.SPLEEN.CKD.BRSD,156,0,26.46,4.77,295
LAMB.VAR MEATS&BY-PRODUCTS.SPLEEN.RAW,101,0,17.2,3.1,28.35
LAMB.VAR MEATS&BY-PRODUCTS.TONGUE.CKD.BRSD,275,0,21.57,20.28,255
LAMB.VAR MEATS&BY-PRODUCTS.TONGUE.RAW,222,0,15.7,17.17,28.35
LAMBS QUARTERS.CKD.BLD.DRND.W/SALT,32,5,3.2,0.7,180
LAMBSQUARTERS.CKD.BLD.DRND.WO/SALT,32,5,3.2,0.7,180
LARD,902,0,0,100,205
LASAGNA W/ MEAT & SAU.FRZ ENTREE,127,12.87,8.26,4.73,297
LASAGNA W/ MEAT & SAU.LOW-FAT.FRZ ENTREE,101,13.5,6.81,2.23,308.5
LASAGNA.CHS.FRZ.PREP,130,13.84,6.54,5.33,243.1
LASAGNA.VEG.FRZ.BKD,139,14.18,6.87,06.04,226.57
LEAVENING AGENTS.BAKING PDR.DOUBLE-ACTING.NA AL SULFATE,53,27.7,0,0,4.6
LEAVENING AGENTS.BAKING PDR.DOUBLE-ACTING.STRAIGHT PO4,51,24.1,0.1,0,4.6
LEAVENING AGENTS.BAKING PDR.LOW-SODIUM,97,46.9,0.1,0.4,5
LEAVENING AGENTS.BAKING SODA,0,0,0,0,4.6
LEAVENING AGENTS.CRM OF TARTAR,258,61.5,0,0,3
LEAVENING AGENTS.YEAST.BAKER'S.ACTIVE DRY,295,38.2,38.3,4.6,12
LEAVENING AGENTS.YEAST.BAKER'S.COMPRESSED,105,18.1,8.4,1.9,17
LEBANON BOLOGNA  BF,172,0.44,19.03,10.44,57
LEEKS.(BULB&LOWER LEAF-PORTION).CKD.BLD.DRND.W/SALT,31,7.62,0.81,0.2,124
LEEKS.(BULB&LOWER LEAF-PORTION).CKD.BLD.DRND.WO/SALT,31,7.62,0.81,0.2,124
LEEKS.(BULB&LOWER LEAF-PORTION).RAW,61,14.15,1.5,0.3,89
LEEKS.(BULB&LOWER-LEAF PORTION).FREEZE-DRIED,321,74.65,15.2,2.1,0.2
LEMON GRASS (CITRONELLA).RAW,99,25.31,1.82,0.49,67
LEMON JUC.CND OR BTLD,21,6.48,0.4,0.29,244
LEMON JUC.FRZ.UNSWTND.SINGLE STRENGTH,22,6.5,0.46,0.32,244
LEMON JUICE.RAW,25,8.63,0.38,0,244
LEMON PEEL.RAW,47,16,1.5,0.3,6
LEMONADE.FRZ CONC.PINK,181,47.1,0.3,0.2,36.4
LEMONADE.FRZ CONC.PINK.PREP W/H2O,40,10.42,0.07,0.04,246.8
LEMONADE.FRZ CONC.WHITE,181,47,0.3,0.2,36.5
LEMONADE.FRZ CONC.WHITE.PREP W/H2O,40,10.42,0.07,0.04,246.96
LEMONADE.LO CAL.W/ASPRT.PDR,332,83.7,3.6,0.3,1.95
LEMONADE.LO CAL.W/ASPRT.PDR.PREP W/H2O,3,0.68,0.03,0,238.51
LEMONADE.PDR.PREP W/H2O,37,9.72,0,0,264.2
LEMONADE.POWDER,389,94.44,0,0,18
LEMONADE-FLAVOR DRK.PDR,389,94.44,0.1,0,18
LEMONADE-FLAVOR DRK.PDR.PREP W/H2O,26,6.68,0.01,0,254.56
LEMONS.RAW.WITH PEEL,20,10.7,1.2,0.3,108
LEMONS.RAW.WITHOUT PEEL,29,9.32,1.1,0.3,212
LENTILS.MATURE SEEDS.CKD.BLD.W/SALT,114,19.54,09.02,0.38,198
LENTILS.MATURE SEEDS.CKD.BLD.WO/SALT,116,20.13,09.02,0.38,198
LENTILS.PINK.RAW,345,59.15,24.95,2.17,192
LENTILS.RAW,353,60.08,25.8,01.06,192
LENTILS.SPROUTED.RAW,106,22.14,8.96,0.55,77
LETTUCE.BUTTERHEAD (INCL BOSTON&BIBB TYPES).RAW,13,2.23,1.35,0.22,55
LETTUCE.COS OR ROMAINE.RAW,17,3.29,1.23,0.3,46.9
LETTUCE.GRN LEAF.RAW,15,2.79,1.36,0.15,35.58
LETTUCE.ICEBERG (INCL CRISPHEAD TYPES).RAW,14,2.97,0.9,0.14,72.48
LETTUCE.RED LEAF.RAW,16,2.26,1.33,0.22,28.27
LIGHT ICE CRM.SOFT SERVE.BLENDED W/ COOKIE PIECES,169,25.55,3.97,5.66,337
LIGHT ICE CRM.SOFT SERVE.BLENDED W/ MILK CHOC CANDIES,182,26.82,04.02,6.46,348
LIMA BNS.IMMAT SEEDS.CKD.BLD.DRND.W/SALT,123,23.64,6.81,0.32,170
LIMA BNS.IMMAT SEEDS.CKD.BLD.DRND.WO/SALT,123,23.64,6.81,0.32,170
