Descrição,Quilocalorias,Carbohidratos,Proteínas,Data.Fat.Total Lipid,Peso (g)
APPLE CIDER-FLAVORED DRK.PDR.VIT C&SUGAR,395,98.8,0,0,8
APPLE JUC.CND OR BTLD.UNSWTND.W/ ADDED VIT C,46,11.3,0.1,0.13,248
APPLE JUC.CND OR BTLD.UNSWTND.WO/ ADDED VIT C,46,11.3,0.1,0.13,248
APPLE JUC.FRZ CONC.UNSWTND.DIL W/3 VOLUME H2O WO/ VIT C,47,11.54,0.14,0.1,239
APPLE JUC.FRZ CONC.UNSWTND.DIL W/3 VOLUME H2O.W/ VIT C,47,11.54,0.14,0.1,239
APPLE JUC.FRZ CONC.UNSWTND.UNDIL.W/ VIT C,166,41,0.51,0.37,211
APPLE JUC.FRZ CONC.UNSWTND.UNDIL.WO/ VIT C,166,41,0.51,0.37,211
APPLES.CND.SWTND.SLICED.DRND.HTD,67,16.84,0.18,0.43,204
APPLES.CND.SWTND.SLICED.DRND.UNHTD,67,16.7,0.18,0.49,204
APPLES.DEHYD (LO MOIST).SULFURED.STWD,74,19.91,0.28,0.12,193
APPLES.DEHYD (LO MOIST).SULFURED.UNCKD,346,93.53,1.32,0.58,60
APPLES.DRIED.SULFURED.STWD.W/ SUGAR,83,20.73,0.2,0.07,280
APPLES.DRIED.SULFURED.STWD.WO/ SUGAR,57,15.32,0.22,0.07,255
APPLES.DRIED.SULFURED.UNCKD,243,65.89,0.93,0.32,86
APPLES.FRZ.UNSWTND.HTD,47,12,0.29,0.33,206
APPLES.FRZ.UNSWTND.UNHTD,48,12.31,0.28,0.32,173
APPLES.RAW.WITH SKIN,52,13.81,0.26,0.17,125
APPLES.RAW.WITHOUT SKIN,48,12.76,0.27,0.13,110
APPLES.RAW.WO/ SKN.CKD.MICROWAVE,56,14.41,0.28,0.42,170
APPLES.RAW.WO/SKN.CKD.BLD,53,13.64,0.26,0.36,171
APPLESAUCE.CND.SWTND.W/SALT,76,19.91,0.18,0.18,255
APPLESAUCE.CND.SWTND.WO/ SALT (INCLUDES USDA COMMODITY),68,17.49,0.16,0.17,245.5
APPLESAUCE.CND.UNSWTND.W/ VIT C,42,11.27,0.17,0.1,243.79
APPLESAUCE.CND.UNSWTND.WO/ADDED VIT C (INCLUDES USDA COMMOD),42,11.27,0.17,0.1,243.79
APRICOT NECTAR.CND.W/ VIT C,56,14.39,0.37,0.09,251
APRICOT NECTAR.CND.WO/ VIT C,56,14.39,0.37,0.09,251
APRICOTS.CND.EX HVY SYRUP PK.WO/SKN.SOL&LIQUIDS,96,24.85,0.55,0.04,246
APRICOTS.CND.EX LT SYRUP PK.W/SKN.SOL&LIQUIDS,49,12.5,0.6,0.1,247
APRICOTS.CND.H2O PK.W/SKN.SOL&LIQUIDS,27,6.39,0.71,0.16,243
APRICOTS.CND.H2O PK.WO/SKN.SOL&LIQUIDS,22,5.48,0.69,0.03,227
APRICOTS.CND.HVY SYRUP PK.W/SKN.SOL&LIQUIDS,83,21.47,0.53,0.08,258
APRICOTS.CND.HVY SYRUP PK.WO/SKN.SOL&LIQUIDS,83,21.45,0.51,0.09,258
APRICOTS.CND.HVY SYRUP.DRND,83,21.31,0.64,0.11,219
APRICOTS.CND.JUC PK.W/SKN.SOL&LIQUIDS,48,12.34,0.63,0.04,244
APRICOTS.CND.LT SYRUP PK.W/SKN.SOL&LIQUIDS,63,16.49,0.53,0.05,253
APRICOTS.DEHYD (LOW-MOISTURE).SULFURED.STWD,126,32.62,1.93,0.24,249
APRICOTS.DEHYD (LOW-MOISTURE).SULFURED.UNCKD,320,82.89,4.9,0.62,119
APRICOTS.DRIED.SULFURED.STWD.W/ SUGAR,113,29.26,1.17,0.15,270
APRICOTS.DRIED.SULFURED.STWD.WO/ SUGAR,85,22.15,1.2,0.18,250
APRICOTS.DRIED.SULFURED.UNCKD,241,62.64,3.39,0.51,130
APRICOTS.FROZEN.SWEETENED,98,25.1,0.7,0.1,242
APRICOTS.RAW,48,11.12,1.4,0.39,155
ARCHWAY Home Style Cookies. Apple Filled Oatmeal,393,67.21,4.47,11.78,25
ARCHWAY Home Style Cookies. Apricot Filled,400,65.86,4.52,13.17,25
ARCHWAY Home Style Cookies. Cherry Filled,405,64.75,4.62,14.12,25
ARCHWAY Home Style Cookies. Chocolate Chip Drop,407,63.28,3.95,15.33,25
ARCHWAY Home Style Cookies. Chocolate Chip Ice Box,497,65.02,4.28,24.4,24
ARCHWAY Home Style Cookies. Coconut Macaroon,460,61.23,03.02,22.55,22
ARCHWAY Home Style Cookies. Cookies Jar Hermits,390,70.33,5.28,9.77,25
ARCHWAY Home Style Cookies. Dark Molasses,407,69.38,4.16,12.59,28
ARCHWAY Home Style Cookies. Date Filled Oatmeal,400,68.16,4.67,12.05,25
ARCHWAY Home Style Cookies. Dutch Cocoa,431,69.44,4.5,14.99,24
ARCHWAY Home Style Cookies. Fat Free Oatmeal Raisin,348,79.56,4.12,1.51,31
ARCHWAY Home Style Cookies. Fruit & Honey Bar,408,69.42,4.44,12.54,26
ARCHWAY Home Style Cookies. Gourmet Apple'n Raisin,435,66.33,5.1,16.64,26
ARCHWAY Home Style Cookies. Gourmet Oatmeal Pecan,472,60.48,5.42,23.13,28
ARCHWAY Home Style Cookies. Gourmet Rocky Road,461,65.94,4.86,19.71,28
ARCHWAY Home Style Cookies. Gourmet Ruth's Golden Oatmeal,431,64.97,5.67,16.44,28
ARCHWAY Home Style Cookies. Iced Molasses,420,69.12,3.5,14.43,28
ARCHWAY Home Style Cookies. Iced Oatmeal,435,66.76,4.89,16.53,28
ARCHWAY Home Style Cookies. Molasses,403,69.41,4.25,12.06,26
ARCHWAY Home Style Cookies. Oatmeal,421,68.17,5.48,14.08,25
ARCHWAY Home Style Cookies. Oatmeal Raisin,406,69.27,5.17,12.08,26
ARCHWAY Home Style Cookies. Old Fashioned Molasses,406,70.55,4.27,11.83,26
ARCHWAY Home Style Cookies. Old Fashioned Windmill Cookies,468,72.23,5.17,17.55,20
ARCHWAY Home Style Cookies. Pecan Ice Box,500,61.02,4.56,26.46,24
ARCHWAY Home Style Cookies. Reduced Fat Ginger Snaps,424,76.23,4.67,11.14,32
ARCHWAY Home Style Cookies. Strawberry Filled,400,65.92,4.35,13.26,25
ARCHWAY Home Style Cookies. Sugar,411,69.02,4.88,12.8,24
ARCHWAY Home Style Cookies. Sugar Free Chocolate Chip,487,66.11,4.51,22.71,24
ARCHWAY Home Style Cookies. Sugar Free Rocky Road,466,64.41,5.87,20.52,24
ARCHWAY HOME STYLE COOKIES.FAT FREE DEVIL'S FD COOKIE,338,79.27,4.82,0.9,20
ARCHWAY HOME STYLE COOKIES.FROSTY LEMON,430,64.78,4.41,17.11,26
ARCHWAY HOME STYLE COOKIES.PNUT BUTTER,480,58.48,9,24.28,21
ARCHWAY HOME STYLE COOKIES.RASPBERRY FILLED,400,65.92,4.35,13.26,25
